date, pm25, pm10, o3, no2, so2, co
2020/2/17, 58, 47, 42, 34, 2, 9
2020/2/18, 69, 45, 56, 26, 4, 5
2020/2/19, 69, 39, 43, 22, 1, 6
2020/2/20, 60, 44, 48, 37, 2, 5
2020/2/21, 73, 51, 33, 32, 2, 3
2020/2/22, 77, 50, 54, 24, 3, 5
2020/2/23, 70, 27, 27, 9, 2, 4
2020/2/24, 45, 37, 25, 9, 3, 6
2020/2/25, 58, 41, 28, 11, 2, 7
2020/2/26, 56, 45, 47, 12, 1, 5
2020/2/27, 67, 37, 35, 7, 2, 3
2020/2/28, 52, 51, 56, 13, 2, 7
2020/2/29, 75, 41, 50, 8, 2, 3
2020/3/1, 50, 30, 28, 7, , 4
2020/3/2, 49, 47, 32, 11, 2, 6
2020/3/3, 77, 44, 28, 6, 3, 4
2020/3/4, 53, 28, 22, 4, 2, 2
2020/3/5, 41, 63, 36, 13, 3, 8
2020/3/6, 87, 53, 37, 12, 2, 4
2020/3/7, 71, 54, 44, 9, 3, 2
2020/3/8, 69, 43, 57, 9, 2, 3
2020/3/9, 67, 39, 35, 10, 2, 4
2020/3/10, 60, 52, 51, 13, 1, 5
2020/3/11, 81, 45, 48, 10, 2, 4
2020/3/12, 70, 46, 39, 11, 2, 3
2020/3/13, 64, 29, 22, 7, 1, 1
2020/3/14, 65, , , , , 
2020/3/17, 58, 41, 36, 7, 1, 3
2020/3/18, 72, , , , , 
2020/3/24, 49, 40, 51, 8, 2, 3
2020/3/25, 55, 42, 74, 9, 2, 4
2020/3/26, 59, 51, 57, 10, 3, 4
2020/3/27, 70, 34, 34, 7, 2, 2
2020/3/28, 51, 40, 36, 11, 2, 4
2020/3/29, 64, 40, 30, 3, 1, 1
2020/3/30, 53, , , , , 
2019/10/2, 23, 22, 27, 8, 3, 5
2019/10/3, 27, 20, 2, , 2, 4
2019/10/4, 41, , , , , 
2019/11/17, 47, 14, 15, 14, 2, 3
2019/11/18, 46, 9, 23, 10, 1, 2
2019/11/19, 35, 20, 26, 13, 1, 6
2019/11/20, 50, 21, 16, 9, , 4
2019/11/21, 45, 28, 24, 13, 2, 7
2019/11/22, 61, 22, 28, 13, 1, 5
2019/11/23, 52, 25, 27, 12, 2, 4
2019/11/24, 56, 33, 21, 12, 2, 7
2019/11/25, 67, 37, 27, 16, 2, 7
2019/11/26, 76, 41, 19, 13, 1, 5
2019/11/27, 76, , 16, 11, 1, 5
2019/11/29, 58, 57, 32, 16, 2, 7
2019/11/30, 82, 51, 21, 16, 3, 11
2019/12/1, 82, 40, , 14, 2, 6
2019/12/2, 36, 57, 27, 16, 3, 9
2019/12/3, 76, 73, 30, 14, 7, 7
2019/12/4, 90, 52, 36, 17, 4, 8
2019/12/5, 79, 71, 43, 20, 3, 10
2019/12/6, 93, 78, 40, 26, 3, 11
2019/12/7, 109, 58, 29, 20, 4, 9
2019/12/8, 77, 74, 48, 20, 5, 13
2019/12/9, 104, 60, 33, 19, 2, 8
2019/12/10, 90, 70, 30, 23, 2, 11
2019/12/11, 95, 71, 33, 20, 2, 13
2019/12/12, 102, 69, 36, 18, 3, 10
2019/12/13, 94, 54, 23, 16, 3, 10
2019/12/14, 86, 82, 31, 16, 3, 15
2019/12/15, 103, 57, 19, 13, 2, 9
2019/12/16, 78, 54, 20, 14, 2, 10
2019/12/17, 87, 70, 28, 16, 3, 10
2019/12/18, 101, 58, 25, 16, 2, 6
2019/12/19, 79, 48, 27, 12, 2, 4
2019/12/20, 65, 53, 5, 15, 3, 10
2019/12/21, 80, 19, 5, 9, 2, 3
2019/12/22, 41, 16, 15, 9, 2, 6
2019/12/23, 36, 39, 28, 15, 3, 8
2019/12/24, 60, 49, 22, 15, 1, 7
2019/12/25, 85, 50, 21, 9, 2, 11
2019/12/26, 99, 49, 20, 15, 2, 9
2019/12/27, 79, 60, 18, 13, 2, 9
2019/12/28, 93, 30, 9, 6, , 3
2019/12/29, 53, , , , , 
2019/7/2, 49, 21, 111, 10, 2, 5
2019/7/3, 44, 20, 100, 10, 3, 4
2019/7/4, 47, 24, 111, 9, 6, 5
2019/7/5, 48, 19, 95, 10, 5, 5
2019/7/6, 42, 26, 95, 9, 5, 4
2019/7/7, 52, 23, 86, 7, 5, 5
2019/7/8, 55, 26, 121, 8, 3, 5
2019/7/9, 47, 26, 119, 14, 5, 5
2019/7/10, 49, 18, 150, 10, 3, 3
2019/7/11, 49, 18, 97, 9, 4, 3
2019/7/12, 49, 13, 54, 8, 2, 5
2019/7/13, 37, 12, 98, 8, 2, 4
2019/7/14, 35, 10, 115, 8, 3, 3
2019/7/15, 31, 12, 74, 10, 2, 4
2019/7/16, 39, 13, 81, 10, 4, 2
2019/7/17, 44, 18, 99, 9, 1, 3
2019/7/18, 59, 17, 96, 11, 2, 7
2019/7/19, 56, 15, 78, 10, 2, 4
